"","ResponseId","question","option","male","clothing","book","paper","sentimental","choice","treatment"
"81","R_0wiXgKO81xUWP7j",12,3,0,"Ten pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",1,0
"82","R_0wiXgKO81xUWP7j",13,1,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",1,0
"83","R_0wiXgKO81xUWP7j",13,2,0,"One pair of shoes","A small case of books (~25 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",0,0
"84","R_0wiXgKO81xUWP7j",13,3,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,0
"85","R_0wiXgKO81xUWP7j",14,1,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",1,0
"86","R_0wiXgKO81xUWP7j",14,2,0,"Fifty pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",0,0
"87","R_0wiXgKO81xUWP7j",14,3,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,0
"88","R_0wiXgKO81xUWP7j",15,1,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",0,0
"89","R_0wiXgKO81xUWP7j",15,2,0,"Ten pairs of shoes","Zero paper books","No tax documents stored after filing","Zero framed photographs of loved ones on display",1,0
"90","R_0wiXgKO81xUWP7j",15,3,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,0
"91","R_10H4EzWSaDkTAZZ",1,1,0,"One pair of shoes","Zero paper books","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",0,0
"92","R_10H4EzWSaDkTAZZ",1,2,0,"Ten pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",1,0
"93","R_10H4EzWSaDkTAZZ",1,3,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,0
"94","R_10H4EzWSaDkTAZZ",2,1,0,"One pair of shoes","Zero paper books","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,0
"95","R_10H4EzWSaDkTAZZ",2,2,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",0,0
"96","R_10H4EzWSaDkTAZZ",2,3,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",1,0
"97","R_10H4EzWSaDkTAZZ",3,1,0,"Fifty pairs of shoes","A small case of books (~25 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",1,0
"98","R_10H4EzWSaDkTAZZ",3,2,0,"One pair of shoes","Zero paper books","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,0
"99","R_10H4EzWSaDkTAZZ",3,3,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,0
"100","R_10H4EzWSaDkTAZZ",4,1,0,"Ten pairs of shoes","Zero paper books","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",0,0
"101","R_10H4EzWSaDkTAZZ",4,2,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,0
"102","R_10H4EzWSaDkTAZZ",4,3,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",1,0
"103","R_10H4EzWSaDkTAZZ",5,1,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,0
"104","R_10H4EzWSaDkTAZZ",5,2,0,"Fifty pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",0,0
"105","R_10H4EzWSaDkTAZZ",5,3,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",1,0
"106","R_10H4EzWSaDkTAZZ",6,1,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",1,0
"107","R_10H4EzWSaDkTAZZ",6,2,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,0
"108","R_10H4EzWSaDkTAZZ",6,3,0,"One pair of shoes","A small case of books (~25 books)","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,0
"109","R_10H4EzWSaDkTAZZ",7,1,0,"Ten pairs of shoes","A small case of books (~25 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",1,0
"110","R_10H4EzWSaDkTAZZ",7,2,0,"Fifty pairs of shoes","Zero paper books","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",0,0
"111","R_10H4EzWSaDkTAZZ",7,3,0,"One pair of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,0
"112","R_10H4EzWSaDkTAZZ",8,1,0,"Fifty pairs of shoes","Zero paper books","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,0
"113","R_10H4EzWSaDkTAZZ",8,2,0,"One pair of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,0
"114","R_10H4EzWSaDkTAZZ",8,3,0,"Ten pairs of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",1,0
"115","R_10H4EzWSaDkTAZZ",9,1,0,"One pair of shoes","A room full of books (100 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",1,0
"116","R_10H4EzWSaDkTAZZ",9,2,0,"Ten pairs of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,0
"117","R_10H4EzWSaDkTAZZ",9,3,0,"Fifty pairs of shoes","Zero paper books","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",0,0
"118","R_10H4EzWSaDkTAZZ",10,1,0,"One pair of shoes","Zero paper books","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",0,0
"119","R_10H4EzWSaDkTAZZ",10,2,0,"Fifty pairs of shoes","A small case of books (~25 books)","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,0
"120","R_10H4EzWSaDkTAZZ",10,3,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",1,0
"121","R_10H4EzWSaDkTAZZ",11,1,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,0
"122","R_10H4EzWSaDkTAZZ",11,2,0,"One pair of shoes","Zero paper books","No tax documents stored after filing","Five framed photographs of loved ones on display",0,0
"123","R_10H4EzWSaDkTAZZ",11,3,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",1,0
"124","R_10H4EzWSaDkTAZZ",12,1,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,0
"125","R_10H4EzWSaDkTAZZ",12,2,0,"One pair of shoes","Zero paper books","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,0
"126","R_10H4EzWSaDkTAZZ",12,3,0,"Ten pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",1,0
"127","R_10H4EzWSaDkTAZZ",13,1,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",0,0
"128","R_10H4EzWSaDkTAZZ",13,2,0,"One pair of shoes","A small case of books (~25 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",1,0
"129","R_10H4EzWSaDkTAZZ",13,3,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,0
"130","R_10H4EzWSaDkTAZZ",14,1,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",0,0
"131","R_10H4EzWSaDkTAZZ",14,2,0,"Fifty pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",1,0
"132","R_10H4EzWSaDkTAZZ",14,3,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,0
"133","R_10H4EzWSaDkTAZZ",15,1,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",1,0
"134","R_10H4EzWSaDkTAZZ",15,2,0,"Ten pairs of shoes","Zero paper books","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,0
"135","R_10H4EzWSaDkTAZZ",15,3,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,0
"136","R_10PoRkgGGJKAELh",1,1,0,"One pair of shoes","Zero paper books","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",0,1
"137","R_10PoRkgGGJKAELh",1,2,0,"Ten pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",1,1
"138","R_10PoRkgGGJKAELh",1,3,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,1
"139","R_10PoRkgGGJKAELh",2,1,0,"One pair of shoes","Zero paper books","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,1
"140","R_10PoRkgGGJKAELh",2,2,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",0,1
"141","R_10PoRkgGGJKAELh",2,3,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",1,1
"142","R_10PoRkgGGJKAELh",3,1,0,"Fifty pairs of shoes","A small case of books (~25 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",0,1
"143","R_10PoRkgGGJKAELh",3,2,0,"One pair of shoes","Zero paper books","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,1
"144","R_10PoRkgGGJKAELh",3,3,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",1,1
"145","R_10PoRkgGGJKAELh",4,1,0,"Ten pairs of shoes","Zero paper books","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",0,1
"146","R_10PoRkgGGJKAELh",4,2,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",1,1
"147","R_10PoRkgGGJKAELh",4,3,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",0,1
"148","R_10PoRkgGGJKAELh",5,1,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",0,1
"149","R_10PoRkgGGJKAELh",5,2,0,"Fifty pairs of shoes","A room full of books (100 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",1,1
"150","R_10PoRkgGGJKAELh",5,3,0,"One pair of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",0,1
"151","R_10PoRkgGGJKAELh",6,1,0,"Fifty pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",1,1
"152","R_10PoRkgGGJKAELh",6,2,0,"Ten pairs of shoes","Zero paper books","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,1
"153","R_10PoRkgGGJKAELh",6,3,0,"One pair of shoes","A small case of books (~25 books)","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,1
"154","R_10PoRkgGGJKAELh",7,1,0,"Ten pairs of shoes","A small case of books (~25 books)","No tax documents stored after filing","Five framed photographs of loved ones on display",0,1
"155","R_10PoRkgGGJKAELh",7,2,0,"Fifty pairs of shoes","Zero paper books","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",0,1
"156","R_10PoRkgGGJKAELh",7,3,0,"One pair of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Zero framed photographs of loved ones on display",1,1
"157","R_10PoRkgGGJKAELh",8,1,0,"Fifty pairs of shoes","Zero paper books","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,1
"158","R_10PoRkgGGJKAELh",8,2,0,"One pair of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",1,1
"159","R_10PoRkgGGJKAELh",8,3,0,"Ten pairs of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",0,1
"160","R_10PoRkgGGJKAELh",9,1,0,"One pair of shoes","A room full of books (100 books)","No tax documents stored after filing","Ten or more framed photographs of loved ones on display",1,1
"161","R_10PoRkgGGJKAELh",9,2,0,"Ten pairs of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",0,1
"162","R_10PoRkgGGJKAELh",9,3,0,"Fifty pairs of shoes","Zero paper books","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",0,1
"163","R_10PoRkgGGJKAELh",10,1,0,"One pair of shoes","Zero paper books","Keep tax documents for 1 year after filing","Ten or more framed photographs of loved ones on display",0,1
"164","R_10PoRkgGGJKAELh",10,2,0,"Fifty pairs of shoes","A small case of books (~25 books)","No tax documents stored after filing","Zero framed photographs of loved ones on display",0,1
"165","R_10PoRkgGGJKAELh",10,3,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 5 years after filing","Five framed photographs of loved ones on display",1,1
"166","R_10PoRkgGGJKAELh",11,1,0,"Ten pairs of shoes","A room full of books (100 books)","Keep tax documents for 1 year after filing","Zero framed photographs of loved ones on display",1,1
"167","R_10PoRkgGGJKAELh",11,2,0,"One pair of shoes","Zero paper books","No tax documents stored after filing","Five framed photographs of loved ones on display",0,1
"168","R_10PoRkgGGJKAELh",11,3,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 5 years after filing","Ten or more framed photographs of loved ones on display",0,1
"169","R_10PoRkgGGJKAELh",12,1,0,"Fifty pairs of shoes","A small case of books (~25 books)","Keep tax documents for 1 year after filing","Five framed photographs of loved ones on display",0,1
